address_components,formatted_address,geometry,place_id,types
"[{'long_name': 'Portland', 'short_name': 'Portland', 'types': ['locality', 'political']}, {'long_name': 'Multnomah County', 'short_name': 'Multnomah County', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Oregon', 'short_name': 'OR', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United States', 'short_name': 'US', 'types': ['country', 'political']}]","Portland, OR, USA","{'bounds': {'northeast': {'lat': 45.652886, 'lng': -122.4720384}, 'southwest': {'lat': 45.4325419, 'lng': -122.8367638}}, 'location': {'lat': 45.515232, 'lng': -122.6783853}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 45.652886, 'lng': -122.4720384}, 'southwest': {'lat': 45.4325419, 'lng': -122.8367638}}}",ChIJJ3SpfQsLlVQRkYXR9ua5Nhw,"['locality', 'political']"
"[{'long_name': 'Seattle', 'short_name': 'Seattle', 'types': ['locality', 'political']}, {'long_name': 'King County', 'short_name': 'King County', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Washington', 'short_name': 'WA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'United States', 'short_name': 'US', 'types': ['country', 'political']}]","Seattle, WA, USA","{'bounds': {'northeast': {'lat': 47.734145, 'lng': -122.2244331}, 'southwest': {'lat': 47.4919119, 'lng': -122.4596959}}, 'location': {'lat': 47.6062095, 'lng': -122.3320708}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 47.734145, 'lng': -122.2244331}, 'southwest': {'lat': 47.4919119, 'lng': -122.4596959}}}",ChIJVTPokywQkFQRmtVEaUZlJRA,"['locality', 'political']"
