,location_x,latitude_x,longitude_x,location_y,latitude_y,longitude_y,distance
56,"Seattle, WA, USA",47.6062095,-122.3320708,"Houston, TX, USA",29.7604267,-95.3698028,3040.5
57,"Seattle, WA, USA",47.6062095,-122.3320708,"Washington, DC, USA",38.9071923,-77.0368707,3736.26
58,"Seattle, WA, USA",47.6062095,-122.3320708,"Philadelphia, PA, USA",39.9525839,-75.1652215,3819.25
59,"Seattle, WA, USA",47.6062095,-122.3320708,"Atlanta, GA, USA",33.748752,-84.38768449999999,3505.72
60,"Seattle, WA, USA",47.6062095,-122.3320708,"Miami, FL, USA",25.7616798,-80.1917902,4396.1
61,"Seattle, WA, USA",47.6062095,-122.3320708,"Phoenix, AZ, USA",33.4483771,-112.0740373,1793.58
62,"Seattle, WA, USA",47.6062095,-122.3320708,"Boston, MA, USA",42.3600825,-71.0588801,4000.07
63,"Seattle, WA, USA",47.6062095,-122.3320708,"Riverside, CA, USA",33.9806005,-117.3754942,1570.64
64,"Seattle, WA, USA",47.6062095,-122.3320708,"San Francisco, CA, USA",37.7749295,-122.4194155,1093.21
65,"Seattle, WA, USA",47.6062095,-122.3320708,"Detroit, MI, USA",42.331427,-83.0457538,3111.16
66,"Seattle, WA, USA",47.6062095,-122.3320708,"Minneapolis, MN, USA",44.977753,-93.2650108,2239.0
67,"Seattle, WA, USA",47.6062095,-122.3320708,"San Diego, CA, USA",32.715738,-117.1610838,1712.05
68,"Seattle, WA, USA",47.6062095,-122.3320708,"Tampa, FL, USA",27.950575,-82.4571776,4065.35
69,"Seattle, WA, USA",47.6062095,-122.3320708,"Denver, CO, USA",39.7392358,-104.990251,1640.74
70,"Seattle, WA, USA",47.6062095,-122.3320708,"Baltimore, MD, USA",39.2903848,-76.6121893,3746.91
71,"Seattle, WA, USA",47.6062095,-122.3320708,"St. Louis, MO, USA",38.6270025,-90.1994042,2768.49
72,"Seattle, WA, USA",47.6062095,-122.3320708,"Charlotte, NC, USA",35.2270869,-80.8431267,3670.76
73,"Seattle, WA, USA",47.6062095,-122.3320708,"Orlando, FL, USA",28.5383832,-81.3789269,4098.0
74,"Seattle, WA, USA",47.6062095,-122.3320708,"San Antonio, TX, USA",29.4251905,-98.4945922,2873.77
75,"Seattle, WA, USA",47.6062095,-122.3320708,"Sacramento, CA, USA",38.5815719,-121.4943996,1005.78
76,"Seattle, WA, USA",47.6062095,-122.3320708,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864,3432.17
77,"Seattle, WA, USA",47.6062095,-122.3320708,"Austin, TX, USA",30.267153,-97.7430608,2847.79
78,"Seattle, WA, USA",47.6062095,-122.3320708,"Las Vegas, NV, USA",36.171563,-115.1391009,1402.48
79,"Seattle, WA, USA",47.6062095,-122.3320708,"Cincinnati, OH, USA",39.1031182,-84.5120196,3165.23
80,"Seattle, WA, USA",47.6062095,-122.3320708,"Kansas City, MO, USA",39.0997265,-94.5785667,2418.55
81,"Seattle, WA, USA",47.6062095,-122.3320708,"Columbus, OH, USA",39.9611755,-82.99879419999999,3232.17
82,"Seattle, WA, USA",47.6062095,-122.3320708,"Indianapolis, IN, USA",39.768403,-86.158068,3005.75
83,"Seattle, WA, USA",47.6062095,-122.3320708,"Cleveland, OH, USA",41.49932,-81.6943605,3251.77
84,"Seattle, WA, USA",47.6062095,-122.3320708,"Nashville, TN, USA",36.1626638,-86.7816016,3171.16
85,"Seattle, WA, USA",47.6062095,-122.3320708,"San Jose, CA, USA",37.33874,-121.8852525,1142.27
86,"Seattle, WA, USA",47.6062095,-122.3320708,"Virginia Beach, VA, USA",36.8516437,-75.97921939999999,3934.36
87,"Seattle, WA, USA",47.6062095,-122.3320708,"Providence, RI, USA",41.8239891,-71.4128343,4000.79
88,"Seattle, WA, USA",47.6062095,-122.3320708,"Jacksonville, FL, USA",30.3321838,-81.65565099999999,3945.36
89,"Seattle, WA, USA",47.6062095,-122.3320708,"Milwaukee, WI, USA",43.0389025,-87.9064736,2715.69
90,"Seattle, WA, USA",47.6062095,-122.3320708,"Raleigh, NC, USA",35.7795897,-78.6381787,3800.59
91,"Seattle, WA, USA",47.6062095,-122.3320708,"Oklahoma City, OK, USA",35.4675602,-97.5164276,2450.47
92,"Seattle, WA, USA",47.6062095,-122.3320708,"Memphis, TN, USA",35.1495343,-90.0489801,2998.95
93,"Seattle, WA, USA",47.6062095,-122.3320708,"Richmond, VA, USA",37.5407246,-77.4360481,3784.34
94,"Seattle, WA, USA",47.6062095,-122.3320708,"Louisville, KY, USA",38.2526647,-85.7584557,3120.21
95,"Seattle, WA, USA",47.6062095,-122.3320708,"Salt Lake City, UT, USA",40.7607793,-111.8910474,1126.25
96,"Seattle, WA, USA",47.6062095,-122.3320708,"New Orleans, LA, USA",29.95106579999999,-90.0715323,3377.74
97,"Seattle, WA, USA",47.6062095,-122.3320708,"Hartford, CT, USA",41.7658043,-72.6733723,3910.56
98,"Seattle, WA, USA",47.6062095,-122.3320708,"Buffalo, NY, USA",42.88644679999999,-78.8783689,3396.61
99,"Seattle, WA, USA",47.6062095,-122.3320708,"Birmingham, AL, USA",33.5185892,-86.8103567,3344.89
100,"New York, NY, USA",40.7127753,-74.0059728,"Portland, OR, USA",45.515232,-122.6783853,3925.65
101,"New York, NY, USA",40.7127753,-74.0059728,"Seattle, WA, USA",47.6062095,-122.3320708,3865.53
102,"New York, NY, USA",40.7127753,-74.0059728,"New York, NY, USA",40.7127753,-74.0059728,10.0
103,"New York, NY, USA",40.7127753,-74.0059728,"Los Angeles, CA, USA",34.0522342,-118.2436849,3935.75
104,"New York, NY, USA",40.7127753,-74.0059728,"Chicago, IL, USA",41.8781136,-87.6297982,1144.29
105,"New York, NY, USA",40.7127753,-74.0059728,"Dallas, TX, USA",32.7766642,-96.7969879,2205.73
106,"New York, NY, USA",40.7127753,-74.0059728,"Houston, TX, USA",29.7604267,-95.3698028,2281.34
107,"New York, NY, USA",40.7127753,-74.0059728,"Washington, DC, USA",38.9071923,-77.0368707,327.58
108,"New York, NY, USA",40.7127753,-74.0059728,"Philadelphia, PA, USA",39.9525839,-75.1652215,129.62
109,"New York, NY, USA",40.7127753,-74.0059728,"Atlanta, GA, USA",33.748752,-84.38768449999999,1200.31
110,"New York, NY, USA",40.7127753,-74.0059728,"Miami, FL, USA",25.7616798,-80.1917902,1757.96
111,"New York, NY, USA",40.7127753,-74.0059728,"Phoenix, AZ, USA",33.4483771,-112.0740373,3443.7
112,"New York, NY, USA",40.7127753,-74.0059728,"Boston, MA, USA",42.3600825,-71.0588801,306.11
113,"New York, NY, USA",40.7127753,-74.0059728,"Riverside, CA, USA",33.9806005,-117.3754942,3865.95
114,"New York, NY, USA",40.7127753,-74.0059728,"San Francisco, CA, USA",37.7749295,-122.4194155,4129.09
